﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1EZhWJQFf85g6d055Gji8c","Candy","Mandy Moore","The Best of Mandy Moore","1","1","234373","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:0qOnSQQF0yzuPWsXrQ9paz","Stereo Hearts (feat. Adam Levine)","Gym Class Heroes, Adam Levine","The Papercut Chronicles II","1","4","210960","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6i8ocpTZSoVmqd5YKsnP0f","Bad Idea","Steven Romero","Bad Idea","1","1","188976","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:7wD6iRghe6SnKHkvHqpnC5","Colors","Jason Derulo","Colors","1","1","187389","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:62McdrVJELUVywVeDk59r0","Dancer","Flo Rida","Dancer","1","1","182131","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:09IStsImFySgyp0pIQdqAc","The Middle","Zedd, Maren Morris, Grey","The Middle","1","1","184732","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:31GAiER3PSF6rcpEAxjM54","Better Than I Used To Be","Mat Kearney, AFSHeeN","Mat Kearney","1","3","194626","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:2YegxR5As7BeQuVp2U6pek","Be Without You","Mary J. Blige","The Breakthrough","1","4","246333","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6NFyWDv5CjfwuzoCkw47Xf","Delicate","Taylor Swift","reputation","1","5","232253","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6in5L6PUrNbWXANgTadrQC","You Are The Reason","Calum Scott","You Are The Reason","1","1","204326","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:5BgsAQnzQFlunJY5T4k1Pd","Put Me Back Together (feat. Kiiara)","Cheat Codes, Kiiara","Put Me Back Together (feat. Kiiara)","1","1","223899","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:7qLE35vc5XvUVrm8Kg9Vmx","Coming Home","Keith Urban, Julia Michaels","Coming Home","1","1","214728","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:0fJtP2HkuZtzfh30XIMtPw","Your Song","Lady Gaga","Your Song","1","1","256746","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:41EqiSpXpYSDcZjgelD1Fe","Philly Forget Me Not (with Train)","Daryl Hall & John Oates, Train","Philly Forget Me Not (with Train)","1","1","158461","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6w1irq9ETctdDxmHxUxpGT","Sweet Sensation","Flo Rida","Sweet Sensation","1","1","198111","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:10Igtw8bSDyyFs7KIsKngZ","Freaky Friday (feat. Chris Brown)","Lil Dicky, Chris Brown","Freaky Friday (feat. Chris Brown)","1","1","216631","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:1okfEMGJlkIgguDlkebSKr","Rocket Man","Little Big Town","Rocket Man","1","1","287586","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:7fCNUWi6uflDTQ08srxMZk","No Excuses","Meghan Trainor","No Excuses","1","1","152862","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:03EcqaAMg58r10dgbl0o6y","Boa Me (feat. Ed Sheeran & Mugeez)","Fuse ODG, Ed Sheeran, Mugeez","Boa Me (feat. Ed Sheeran & Mugeez)","1","1","180500","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:7EzCgq5PgN6KcsazbKBSwV","Girl, I Wanna - #90s Update Remix","Marcapasos, #90s Update","Girl, I Wanna (#90s Update Remix)","1","1","222251","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:2yy2RxtFDMrEWzmZf9aqBJ","He Wasn't Man Enough - Radio Edit","Toni Braxton","R&B Party","1","23","239426","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:2jL0xsUhizWTTTDyh4uxUm","Bennie And The Jets - 2018 Version","Elton John, P!nk, Logic","Revamp: The Songs Of Elton John & Bernie Taupin","1","1","191287","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6rQ9qJPvInEqSzlh89LsPJ","Coco Jamboo - Radio Version","Mr. President","We See The Same Sun","1","2","218733","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6HA97v4wEGQ5TUClRM0XLc","99 Luftballons","Nena","99 Luftballons","1","11","233000","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:74jTexO94dFGyXGyeu8krd","Beautiful Life","Ace of Base","The Bridge (Remastered)","1","1","221186","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6QvAqvSvkfHLzeIilXQ9H7","Keep Going","The Revivalists","Men Amongst Mountains","1","1","254853","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:2zBNt2KTcvDjsknWCeSvF2","Wish I Knew You - Single Mix","The Revivalists","Wish I Knew You","1","1","252921","spotify:user:122199385","2018-04-13T15:53:13Z"
